postId,Score,userId,ViewCount,CommentCount,Reputation,Views,UpVotes,DownVotes
1,23,8,1278,1,6764,1089,604,25
2,22,24,8198,1,344,48,36,1
3,54,18,3613,4,128,8,16,0
4,13,23,5224,2,308,52,34,1
5,81,23,0,3,308,52,34,1
6,152,5,29229,5,6792,1145,662,5
7,76,38,5808,3,133,15,1,0
9,13,50,0,3,101,3,3,0
10,23,24,21925,4,344,48,36,1
12,20,5,0,1,6792,1145,662,5
13,14,23,0,4,308,52,34,1
15,13,6,0,0,457,114,47,0
16,16,8,0,3,6764,1089,604,25
18,31,36,0,1,1570,173,26,1
19,12,55,0,0,366,16,48,1
22,102,66,21916,1,614,102,12,0
24,17,61,0,0,1956,147,39,4
26,18,75,3476,14,321,44,4,0
31,66,13,175495,3,817,178,44,1
32,12,5,0,0,6792,1145,662,5
36,41,8,67396,7,6764,1089,604,25
42,12,80,0,3,211,16,7,0
50,18,62,2414,4,549,90,13,3
53,40,17,25962,4,345,14,13,1
59,24,39,0,1,1651,255,12,0
61,22,74,0,5,2316,1126,74,65
63,25,87,0,2,740,89,58,2
65,14,8,0,3,6764,1089,604,25
70,15,22,0,1,591,90,693,6
73,24,22,5717,5,591,90,693,6
74,25,88,0,0,14082,3320,4235,126
76,22,5,0,3,6792,1145,662,5
77,16,74,0,7,2316,1126,74,65
78,33,8,0,4,6764,1089,604,25
85,15,87,0,2,740,89,58,2
97,35,114,14608,1,708,61,44,1
103,28,5,1990,6,6792,1145,662,5
104,16,74,0,0,2316,1126,74,65
105,19,46,0,1,111,350,59,15
108,14,5,0,1,6792,1145,662,5
114,30,8,1220,1,6764,1089,604,25
116,12,72,0,4,800,77,58,0
117,25,36,0,1,1570,173,26,1
118,122,83,39118,11,804,64,11,0
120,39,41,0,4,611,83,12,0
121,71,61,0,6,1956,147,39,4
123,13,130,0,0,241,24,2,0
124,23,131,1131,0,216,14,6,0
125,75,5,29261,2,6792,1145,662,5
126,26,5,0,4,6792,1145,662,5
127,18,61,0,2,1956,147,39,4
130,30,90,7111,10,561,287,27,0
131,23,5,0,0,6792,1145,662,5
137,15,74,0,2,2316,1126,74,65
138,67,142,14326,4,185,19,10,0
139,21,5,0,2,6792,1145,662,5
144,17,22,0,0,591,90,693,6
146,12,144,4419,3,1396,269,477,1
151,60,81,0,4,1307,80,86,0
154,20,108,0,3,305,171,4,0
155,27,154,3293,2,321,23,6,0
162,14,74,0,4,2316,1126,74,65
165,56,74,22890,3,2316,1126,74,65
168,17,8,1022,1,6764,1089,604,25
170,56,8,7733,1,6764,1089,604,25
173,15,71,2519,0,1936,328,2317,1
174,35,159,0,0,18283,3781,1014,59
175,29,13,28291,1,817,178,44,1
176,18,81,0,2,1307,80,86,0
177,22,159,0,2,18283,3781,1014,59
179,12,159,0,0,18283,3781,1014,59
181,50,159,39097,0,18283,3781,1014,59
182,16,74,0,0,2316,1126,74,65
188,21,61,0,4,1956,147,39,4
196,19,87,4090,2,740,89,58,2
200,13,174,0,3,792,78,163,4
203,16,183,6033,2,22625,4069,2496,45
205,12,187,543,0,446,69,6,0
206,13,188,70255,1,211,19,2,0
209,19,174,0,4,792,78,163,4
213,51,159,9772,3,18283,3781,1014,59
220,14,85,9481,2,176,25,3,0
221,15,159,0,2,18283,3781,1014,59
222,26,191,36801,1,313,16,8,0
226,12,173,0,2,453,39,15,0
232,12,103,0,2,261,34,41,1
242,12,199,470,5,1815,188,149,3
244,17,13,0,4,817,178,44,1
256,14,217,1422,0,522,111,16,1
257,14,217,6700,1,522,111,16,1
258,14,217,780,0,522,111,16,1
259,12,217,0,5,522,111,16,1
260,12,217,0,1,522,111,16,1
261,12,159,0,4,18283,3781,1014,59
262,13,8,0,7,6764,1089,604,25
265,14,88,0,0,14082,3320,4235,126
270,12,90,1291,0,561,287,27,0
277,12,215,3033,0,2496,384,5,0
282,23,81,0,3,1307,80,86,0
283,22,215,13685,0,2496,384,5,0
286,12,211,0,0,586,11,0,0
294,25,211,0,0,586,11,0,0
298,55,125,67592,4,391,31,0,0
305,27,196,2939,0,6140,649,497,114
307,13,229,0,3,629,64,65,0
317,18,56,0,0,563,64,10,0
319,15,71,0,2,1936,328,2317,1
320,14,61,0,0,1956,147,39,4
323,22,3807,0,2,367,67,34,1
326,12,3807,0,1,367,67,34,1
346,26,247,4873,2,898,104,82,3
361,13,170,0,1,208,52,48,1
362,14,196,25597,0,6140,649,497,114
363,52,74,5188,2,2316,1126,74,65
367,17,90,0,1,561,287,27,0
370,27,159,0,2,18283,3781,1014,59
371,15,34,0,2,185,27,23,0
373,24,252,1439,2,315,40,8,0
387,36,69,0,0,530,174,630,6
389,12,199,0,0,1815,188,149,3
393,26,223,0,2,4022,1471,345,19
398,14,5,0,1,6792,1145,662,5
399,22,190,0,3,1166,146,482,24
411,31,89,3293,8,1281,105,61,4
414,20,89,5291,0,1281,105,61,4
416,14,215,0,1,2496,384,5,0
418,13,77,1382,1,260,8,36,0
421,52,219,11458,4,184,119,2,0
423,156,5,64481,7,6792,1145,662,5
424,109,88,0,3,14082,3320,4235,126
425,88,13,0,0,817,178,44,1
427,14,215,0,0,2496,384,5,0
429,14,39,0,5,1651,255,12,0
430,14,251,0,2,7931,984,819,0
432,96,8,0,1,6764,1089,604,25
433,40,5,0,0,6792,1145,662,5
434,24,215,0,4,2496,384,5,0
435,84,88,0,1,14082,3320,4235,126
436,14,215,0,0,2496,384,5,0
440,13,36,0,0,1570,173,26,1
455,27,13,0,1,817,178,44,1
470,32,36,0,6,1570,173,26,1
471,14,168,0,1,147,61,8,1
478,12,251,0,4,7931,984,819,0
480,14,223,1711,0,4022,1471,345,19
483,14,88,0,2,14082,3320,4235,126
485,48,183,4470,3,22625,4069,2496,45
486,17,266,23985,4,1272,335,108,1
490,16,223,2262,2,4022,1471,345,19
499,17,267,478,0,91,17,4,0
506,13,215,0,1,2496,384,5,0
507,12,215,3303,1,2496,384,5,0
510,35,266,0,0,1272,335,108,1
511,26,3807,0,0,367,67,34,1
517,13,68,1760,2,503,42,10,0
522,12,39,0,1,1651,255,12,0
532,12,159,0,5,18283,3781,1014,59
534,44,159,11149,6,18283,3781,1014,59
538,23,260,0,5,526,24,2,0
539,34,174,9369,2,792,78,163,4
541,14,159,0,3,18283,3781,1014,59
544,13,183,0,0,22625,4069,2496,45
546,29,183,0,5,22625,4069,2496,45
551,36,215,0,4,2496,384,5,0
557,33,215,0,4,2496,384,5,0
561,12,215,0,0,2496,384,5,0
570,12,251,753,2,7931,984,819,0
572,14,251,0,0,7931,984,819,0
575,14,196,6570,3,6140,649,497,114
577,79,196,22354,2,6140,649,497,114
583,37,39,0,2,1651,255,12,0
587,31,159,0,6,18283,3781,1014,59
594,12,240,273,1,281,31,8,0
607,70,30,0,1,2185,312,40,3
608,19,196,1244,9,6140,649,497,114
612,12,144,3981,4,1396,269,477,1
614,22,107,2267,6,160,14,20,3
618,15,54,0,6,360,18,21,2
622,15,159,3833,0,18283,3781,1014,59
631,22,88,4341,0,14082,3320,4235,126
635,13,30,0,1,2185,312,40,3
643,21,7,1582,2,429,56,20,0
648,13,68,0,7,503,42,10,0
652,16,9426,16577,12,407,57,48,5
656,61,25,0,1,4968,641,328,23
658,14,88,0,13,14082,3320,4235,126
663,17,319,0,2,1994,523,62,0
665,39,327,11200,0,303,36,0,0
672,21,333,5405,2,1233,104,75,4
675,49,89,0,5,1281,105,61,4
680,17,74,0,2,2316,1126,74,65
693,32,319,0,1,1994,523,62,0
694,66,74,0,1,2316,1126,74,65
712,12,402,1343,1,61,2,0,0
720,18,25,0,4,4968,641,328,23
726,124,223,34780,1,4022,1471,345,19
727,61,223,0,2,4022,1471,345,19
728,32,223,0,2,4022,1471,345,19
729,74,159,0,6,18283,3781,1014,59
730,146,159,0,5,18283,3781,1014,59
732,57,251,0,4,7931,984,819,0
738,46,188,0,1,211,19,2,0
744,115,319,0,6,1994,523,62,0
748,58,434,0,1,111,7,54,0
750,17,127,0,6,236,46,29,1
752,28,127,0,6,236,46,29,1
753,78,127,0,1,236,46,29,1
755,36,183,0,1,22625,4069,2496,45
760,14,442,0,4,6431,973,857,21
764,12,445,1725,0,152,10,32,0
767,83,447,0,7,1422,173,20,0
783,35,442,0,6,6431,973,857,21
785,15,447,0,0,1422,173,20,0
786,18,460,0,1,148,5,4,0
794,28,7620,0,2,604,56,84,4
796,19,442,0,1,6431,973,857,21
798,21,476,28339,0,208,7,0,1
824,15,39,0,2,1651,255,12,0
825,22,480,5272,8,113,4,0,0
827,13,5,0,6,6792,1145,662,5
841,14,30,1016,2,2185,312,40,3
849,21,485,0,4,2908,265,444,11
862,16,159,0,4,18283,3781,1014,59
866,55,455,11646,3,378,24,26,0
870,13,520,14181,4,268,42,9,0
871,19,520,9102,1,268,42,9,0
875,16,163,0,1,276,12,1,0
876,31,530,0,0,599,77,2,0
884,28,541,1102,0,141,9,0,0
893,12,236,0,2,221,9,8,0
894,22,1356,0,3,745,129,115,1
927,17,319,778,0,1994,523,62,0
942,15,75,1955,0,321,44,4,0
949,15,511,1880,9,1796,516,33,4
967,23,215,0,4,2496,384,5,0
968,58,1356,0,3,745,129,115,1
973,16,223,4214,2,4022,1471,345,19
996,13,603,0,0,10647,1225,683,49
1026,24,159,0,6,18283,3781,1014,59
1036,14,557,0,2,1273,142,58,0
1047,13,614,4458,0,305,34,7,0
1053,17,172,1552,1,564,113,15,0
1055,20,159,0,2,18283,3781,1014,59
1059,25,183,0,0,22625,4069,2496,45
1064,51,253,0,2,5309,1147,1160,5
1073,12,638,0,4,241,13,2,0
1088,18,643,0,0,251,31,13,0
1097,44,438,0,10,2133,272,28,1
1104,15,17,0,0,345,14,13,1
1113,18,442,0,1,6431,973,857,21
1142,36,667,11691,5,406,56,11,0
1150,36,159,0,3,18283,3781,1014,59
1153,29,159,0,8,18283,3781,1014,59
1164,50,438,2732,3,2133,272,28,1
1170,40,319,0,5,1994,523,62,0
1173,13,8,1765,5,6764,1089,604,25
1174,20,634,18749,0,426,47,8,0
1185,20,8,0,3,6764,1089,604,25
1194,29,11,5877,17,136,10,10,0
1196,15,666,0,0,1855,105,71,0
1207,15,667,3766,0,406,56,11,0
1213,47,25692,0,1,408,27,0,0
1214,17,159,0,6,18283,3781,1014,59
1251,15,8,0,4,6764,1089,604,25
1252,22,59,5329,1,402,82,51,0
1254,14,253,0,1,5309,1147,1160,5
1280,71,553,0,2,101,4,0,0
1297,15,495,0,5,2092,272,32,4
1308,17,765,4654,4,86,11,0,0
1315,17,775,2208,7,436,24,5,0
1330,43,521,0,1,2133,205,65,0
1332,15,521,0,3,2133,205,65,0
